tweet_id,timestamp,source,rating,jpg_url,favorite_count,retweet_count,stage,breed
671533943490011136,2015-12-01 03:39:03,Twitter for iPhone,6,https://pbs.twimg.com/media/CVHEju0XAAEUZRY.jpg,1068,610,,
671528761649688577,2015-12-01 03:18:27,Twitter for iPhone,10,https://pbs.twimg.com/media/CVG_2I-WIAASKSS.jpg,874,272,,doberman
671520732782923777,2015-12-01 02:46:33,Twitter for iPhone,10,https://pbs.twimg.com/media/CVG4i9UWEAAUH3U.jpg,1452,561,,pomeranian
671518598289059840,2015-12-01 02:38:04,Twitter for iPhone,9,https://pbs.twimg.com/media/CVG2l9jUYAAwg-w.jpg,981,306,,lakeland terrier
671542985629241344,2015-12-01 04:14:59,Twitter for iPhone,10,https://pbs.twimg.com/media/CVHMyHMWwAALYXs.jpg,1136,598,,shetland sheepdog
672591271085670400,2015-12-04 01:40:29,Twitter for iPhone,8,https://pbs.twimg.com/media/CVWGMQMWUAA7aOM.jpg,756,198,,
672591762242805761,2015-12-04 01:42:26,Twitter for iPhone,10,https://pbs.twimg.com/media/CVWGotpXAAMRfGq.jpg,989,350,,kuvasz
673705679337693185,2015-12-07 03:28:45,Twitter for iPhone,8,https://pbs.twimg.com/media/CVl7u00WcAAufzR.jpg,1306,422,,shih-tzu
673700254269775872,2015-12-07 03:07:12,Twitter for iPhone,3,https://pbs.twimg.com/media/CVl2ydUWsAA1jD6.jpg,1492,608,,
673689733134946305,2015-12-07 02:25:23,Twitter for iPhone,11,https://pbs.twimg.com/media/CVltNgxWEAA5sCJ.jpg,1816,689,,chesapeake bay retriever
673688752737402881,2015-12-07 02:21:29,Twitter for iPhone,9,https://pbs.twimg.com/media/CVlsVs3WIAAja6m.jpg,1316,526,,soft-coated wheaten terrier
673708611235921920,2015-12-07 03:40:24,Twitter for iPhone,12,https://pbs.twimg.com/media/CVl-Z0dWcAAs7wr.jpg,1116,308,,golden retriever
673686845050527744,2015-12-07 02:13:55,Twitter for iPhone,11,https://pbs.twimg.com/media/CVlqi_AXIAASlcD.jpg,1504,465,,pekinese
673662677122719744,2015-12-07 00:37:52,Twitter for iPhone,12,https://pbs.twimg.com/media/CVlUfBbUwAQyfcD.jpg,1301,384,,labrador retriever
673636718965334016,2015-12-06 22:54:44,Twitter for iPhone,10,https://pbs.twimg.com/media/CVk9ApFWUAA-S1s.jpg,1168,394,,pug
673583129559498752,2015-12-06 19:21:47,Twitter for iPhone,11,https://pbs.twimg.com/media/CVkMRUeWsAA9bMh.jpg,1240,391,,golden retriever
673580926094458881,2015-12-06 19:13:01,Twitter for iPhone,8,https://pbs.twimg.com/media/CVkKRqOXIAEX83-.jpg,861,284,,beagle
673680198160809984,2015-12-07 01:47:30,Twitter for iPhone,13,https://pbs.twimg.com/media/CVlkid8WoAAqDlB.jpg,1427,499,,samoyed
673576835670777856,2015-12-06 18:56:46,Twitter for iPhone,7,https://pbs.twimg.com/media/CVkGjsxU8AA5OYX.jpg,1439,596,,
673709992831262724,2015-12-07 03:45:53,Twitter for iPhone,12,https://pbs.twimg.com/media/CVl_qbjW4AA8Mam.jpg,886,296,,chihuahua
673715861853720576,2015-12-07 04:09:13,Twitter for iPhone,4,https://pbs.twimg.com/media/CVmE_fAWIAAlDhU.jpg,3699,2233,,
674051556661161984,2015-12-08 02:23:09,Twitter for iPhone,10,https://pbs.twimg.com/media/CVq2UHwWEAAduMw.jpg,1513,515,,shih-tzu
674045139690631169,2015-12-08 01:57:39,Twitter for iPhone,3,https://pbs.twimg.com/media/CVqwedgXIAEAT6A.jpg,1475,688,,
674042553264685056,2015-12-08 01:47:22,Twitter for iPhone,12,https://pbs.twimg.com/media/CVquIDRW4AEJrPk.jpg,750,136,,toy poodle
674036086168010753,2015-12-08 01:21:40,Twitter for iPhone,9,https://pbs.twimg.com/media/CVqoPslWEAEk7EC.jpg,878,233,,toy poodle
674024893172875264,2015-12-08 00:37:11,Twitter for iPhone,10,https://pbs.twimg.com/media/CVqeEKLW4AA1wXH.jpg,1868,1309,,pomeranian
673711475735838725,2015-12-07 03:51:47,Twitter for iPhone,10,https://pbs.twimg.com/media/CVmA_osW4AArAU1.jpg,1083,317,,maltese dog
674019345211760640,2015-12-08 00:15:09,Twitter for iPhone,10,https://pbs.twimg.com/media/CVqZBO8WUAAd931.jpg,1180,322,,collie
674008982932058114,2015-12-07 23:33:58,Twitter for iPhone,10,https://pbs.twimg.com/media/CVqPkVoU4AAkXA7.jpg,1251,376,,
673906403526995968,2015-12-07 16:46:21,Twitter for iPhone,3,https://pbs.twimg.com/media/CVoySqoWUAAWb7N.jpg,3324,1739,,soft-coated wheaten terrier
673887867907739649,2015-12-07 15:32:42,Twitter for iPhone,10,https://pbs.twimg.com/media/CVoha_IU4AAZ7vi.jpg,973,267,,brabancon griffon
674014384960745472,2015-12-07 23:55:26,Twitter for iPhone,11,https://pbs.twimg.com/media/CVqUgTIUAAUA8Jr.jpg,1638,693,,pembroke
671147085991960577,2015-11-30 02:01:49,Twitter for iPhone,9,https://pbs.twimg.com/media/CVBktzQXAAAPpUA.jpg,698,241,,yorkshire terrier
673355879178194945,2015-12-06 04:18:46,Twitter for iPhone,11,https://pbs.twimg.com/media/CVg9mTYWIAAu7J6.jpg,1550,625,,rottweiler
672968025906282496,2015-12-05 02:37:35,Twitter for iPhone,11,https://pbs.twimg.com/media/CVbc2V2WsAE3-kn.jpg,1368,583,,toy poodle
672964561327235073,2015-12-05 02:23:49,Twitter for iPhone,10,https://pbs.twimg.com/media/CVbZsouWUAIsxMc.jpg,1477,680,,chihuahua
672902681409806336,2015-12-04 22:17:55,Twitter for iPhone,9,https://pbs.twimg.com/media/CVahaz9XAAA8uTy.jpg,1419,533,,
672884426393653248,2015-12-04 21:05:23,Twitter for iPhone,6,https://pbs.twimg.com/media/CVaQ0M4UsAAki3t.jpg,1618,879,,
672877615439593473,2015-12-04 20:38:19,Twitter for iPhone,8,https://pbs.twimg.com/media/CVaKn75XAAEU09u.jpg,1067,391,,chihuahua
672828477930868736,2015-12-04 17:23:04,Twitter for iPhone,9,https://pbs.twimg.com/media/CVZd7ttWcAEs2wP.jpg,1305,518,,
672640509974827008,2015-12-04 04:56:09,Twitter for iPhone,9,https://pbs.twimg.com/media/CVWy9v-VAAALSoE.jpg,1010,340,,chesapeake bay retriever
672609152938721280,2015-12-04 02:51:33,Twitter for iPhone,9,https://pbs.twimg.com/media/CVWWdKLWEAEnSk7.jpg,1157,410,,
672604026190569472,2015-12-04 02:31:10,Twitter for iPhone,11,https://pbs.twimg.com/media/CVWRyylWIAAMltv.jpg,1159,431,,toy poodle
672834301050937345,2015-12-04 17:46:12,Twitter for iPhone,10,https://pbs.twimg.com/media/CVZjOktVAAAtigw.jpg,1367,608,,pembroke
673359818736984064,2015-12-06 04:34:25,Twitter for iPhone,8,https://pbs.twimg.com/media/CVhBLohWEAAXtYl.jpg,1516,711,,english setter
672980819271634944,2015-12-05 03:28:25,Twitter for iPhone,5,https://pbs.twimg.com/media/CVbodBOUsAAb7jZ.jpg,1875,1052,,basset
673352124999274496,2015-12-06 04:03:51,Twitter for iPhone,12,https://pbs.twimg.com/media/CVg6L2hWIAAYuEb.jpg,1718,575,,golden retriever
